AREA_TOTAL,TOTAL_FAMILIARES,TOTAL_EMPREGADOS,VT_ANIMAL,VT_VEGETAL,VA_AGROINDUSTRIA,VT_PRODUCAO
14.3,5,0,21750,9880,,31630
19.36,2,0,600,,,600
30,1,1,,,,0
40,2,0,,1200,,1200
0.39,1,0,6006,,,6006
96.8,2,0,7716,3010,,10726
21.78,3,0,4550,,,4550
36.3,2,0,18060,,,18060
406.56,1,1,28616,,,28616
58,1,0,11280,,,11280
26.62,1,0,4970,,,4970
14.52,2,0,24625,,,24625
145.2,1,2,11410,100,,11510
33.88,4,0,18790,2100,,20890
72.6,1,0,5980,6780,,12760
169.4,2,5,15725,,,15725
72.6,1,0,3190,,,3190
348.48,1,1,,,,0
217.8,1,1,1120,,,1120
55.66,2,0,42850,12300,,55150
9.68,1,0,,,,0
235.42,2,0,,200,,200
9.68,6,0,1000,,,1000
29.04,1,0,6690,14200,,20890
109,1,0,12500,200,,12700
48.4,4,0,600,,,600
9.68,1,0,,,,0
1936,1,5,25000,6000,,31000
130.68,1,2,4855,300,,5155
70,3,0,3902,2530.18,,6432.18
415,1,0,,,,0
1604,1,10,,1879440,,1879440
353.32,3,0,234944,,,234944
15.8,1,1,3635,100,,3735
106,2,0,41740,29150,68.04,70958.04
69,4,0,19770,39326,,59096
78,2,0,8500,300,,8800
16.32,2,0,891,250,,1141
377.52,2,1,61630,1056,,62686
7,3,0,2201.25,,,2201.25
20,6,0,1084,,,1084
20.5,1,0,900,1920,,2820
1484,3,0,50000,15275,,65275
484,1,1,1500,,,1500
1064.8,1,1,30820,2000,,32820
48,1,0,,,,0
24.2,3,0,8385,600,,8985
4.84,4,0,1081,67800,,68881
435.6,3,3,240,,,240
32,2,0,3318,,,3318
16.94,5,0,1350,180,,1530
7.26,4,0,3982.5,340,,4322.5
5.45,1,0,4320,,,4320
43.56,1,3,,200,,200
9.68,4,0,179,,,179
58.08,4,0,14450,20,,14470
242,9,13,107880,232320,,340200
21.78,2,0,4900,1700,,6600
48.4,3,0,5930,100,,6030
24.2,1,0,5796,,,5796
84.7,1,0,22320,,,22320
2113,3,3,900000,,,900000
968,1,0,1872,,,1872
6.78,2,0,6340,,,6340
4.84,1,1,80,,,80
130.68,1,1,9125,,,9125
76,1,2,43220,,,43220
435.6,4,4,1100,4050,,5150
13.92,2,0,4650,90,,4740
493,1,0,107200,,,107200
0.15,2,0,160,100,,260
0.6,2,0,8160,2,,8162
40,3,0,26694,48528,,75222
200,2,0,11340,,,11340
53.24,2,0,608,,,608
2904,1,1,85350,,,85350
24.2,2,0,610,,,610
87,1,0,,,,0
36.3,2,0,1200,1340,,2540
36.3,5,0,100,1405,,1505
169.4,2,0,1600,,,1600
43.56,2,0,4608,2250,,6858
62.92,2,0,24425,300,,24725
96.8,1,0,27700,,,27700
20,5,0,2325,3374,,5699
14.52,2,0,,200,,200
20.33,4,0,25,,,25
9.68,2,0,2210,40,,2250
1210,1,3,950000,,,950000
6.05,1,0,4400,600,,5000
29,1,0,760,1560,,2320
145.2,1,1,18000,,,18000
96.8,4,0,82460,700,,83160
0.3,4,0,1150,,,1150
15,2,0,650,,,650
200,3,0,9500,,,9500
63.47,1,1,400,,,400
958.32,1,5,297703,,,297703
31.6,2,0,24785,18080,,42865
16.94,1,0,,,,0
38.72,1,0,,,,0
174,1,1,72410,8400,,80810
55.66,6,5,14236,9050,,23286
48.4,3,0,9060,500,,9560
19.36,2,0,40,40,,80
440.44,2,0,28410,458150,,486560
28.07,2,0,3010,,,3010
14.52,1,0,5000,,,5000
9.68,5,0,300,2888.75,,3188.75
4,5,0,738,100,,838
5.81,1,0,,,,0
38.72,1,0,,,,0
955,2,7,3720,2057750,,2061470
82.28,4,3,18639,200,,18839
9.68,3,0,86,200,,286
33.88,1,0,1800,100,,1900
484,1,2,180000,,,180000
84.7,1,2,7800,,,7800
33.88,1,0,36400,,,36400
5.45,4,0,3740,370,,4110
19.36,4,0,,324,,324
15,3,0,1200,,,1200
26,3,0,633,,,633
121,1,1,51030,,,51030
37,3,0,6360,,,6360
9.68,1,2,,,,0
48,8,0,20350,9120,,29470
19.36,3,0,24102.5,2950,,27052.5
58.08,4,0,540,967.5,,1507.5
179.08,1,0,100,,,100
338.85,7,3,18567,12644,,31211
774.4,1,1,7060,503,,7563
2,4,0,3180,,,3180
16.26,2,0,10666,2400,,13066
36.3,1,0,7685,,,7685
24.2,1,0,3900,11000,,14900
33.88,1,0,3600,,,3600
14.52,1,0,,300,,300
60.5,3,0,5500,,,5500
135.52,1,0,,,,0
55.66,2,0,1460,,,1460
65.34,2,4,1080,2000,,3080
33.88,1,0,1200,73170,,74370
31.46,1,1,3500,,475.81,3975.81
